vim-runtime 9.1.1908-1
vmaf 3.0.0-1
vulkan-icd-loader 1.4.328.1-1
wayland 1.24.0-1
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
which 2.23-1
wireplumber 0.5.12-1
wl-clipboard 1:2.2.1-3
wlroots0.18 0.18.3-1
wlroots0.19 0.19.2-1
wofi 1.5.1-1
wolf-shaper-lv2 1.0.2-2
wolf-spectrum 1.0.0-3
wpa_supplicant 2:2.11-3
wtype 0.4-2
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
x42-plugins-lv2 20251025-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-utils 1.2.1-1
xkeyboard-config 2.46-1
xmlsec 1.3.9-1
xorg-fonts-encodings 1.1.0-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.9-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yay 12.5.0-1
yay-debug 12.5.0-1
zathura 0.5.14-1
zathura-pdf-mupdf 0.4.6-2
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.3.1-1
zopfli 1.0.3-4
zork1 1-12
zstd 1.5.7-2
zxing-cpp 2.3.0-5
zziplib 0.13.80-1
